line,ru_name,eng_name,without_page,parent
0,Задачи алгебры,Linear algebra problems,without_page,
1,Матричные и векторные операции,Matrix and vector operations,without_page,0
2,Векторные операции,Vector operations,without_page,1
3,Суммирование сдваиванием,Pairwise summation,false,2
4,Нахождение суммы элементов массива сдваиванием,Pairwise summation of numbers,false,3
5,Нахождение частных сумм элементов массива сдваиванием,Parallel prefix scan algorithm using pairwise summation,false,3
6,"Равномерная норма вектора, вещественная версия, последовательно-параллельный вариант","Uniform norm of a vector: Real version, serial-parallel variant",false,2
7,"Скалярное произведение векторов, вещественная версия, последовательно-параллельный вариант",Dot product,false,2
8,Последовательно-параллельный метод суммирования,The serial-parallel summation method,false,2
9,Умножения матриц на вектор,Matrix-vector operations,without_page,1
10,Умножения неособенных матриц на вектор,Multiplying a nonsingular matrix by a vector,without_page,9
11,Умножение плотной неособенной матрицы на вектор (последовательный вещественный вариант),Dense matrix-vector multiplication,false,10
12,Умножения матриц специального вида на вектор,Multiplying a matrix of special form by a vector,without_page,9
13,Преобразование Фурье,Fourier transform,false,12
14,Быстрое преобразование Фурье для составной размерности,Fast Fourier transform for composite dimension,false,13
15,Быстрое преобразование Фурье для степеней двойки,Fast Fourier transform for powers-of-two,false,14
16,Простой алгоритм Кули-Тьюки быстрого преобразования Фурье для степеней двойки,"Cooley–Tukey Fast Fourier Transform, radix-2 case",false,15
17,Быстрое преобразование Фурье для чётных степеней двойки,Fast Fourier transform for even powers-of-two,false,15
18,"Быстрое преобразование Фурье для составной размерности с небольшими простыми делителями (2,3,5,7)","Fast Fourier transform for composite dimension with small prime divisors (2,3,5,7)",false,14
19,Быстрое преобразование Фурье для простой размерности,Fast Fourier transform for prime dimension,false,13
20,Матричные операции,Matrix operations,without_page,1
21,Умножение плотных матриц,Dense matrix multiplication,false,20
22,Перемножение плотных неособенных матриц (последовательный вещественный вариант),Dense matrix multiplication (serial version for real matrices),false,21
23,Метод Штрассена,Strassen's algorithm,false,21
24,Разложения матриц,Matrix decompositions,without_page,0
25,Задача разложения матриц,Matrix decomposition problem,false,24
26,Треугольные разложения,Triangular decompositions,false,24
27,Метод Гаусса (нахождение LU-разложения),Gaussian elimination (finding the LU decomposition),false,26
28,LU-разложение методом Гаусса без перестановок,LU decomposition using Gaussian elimination without pivoting,false,27
29,LU-разложение методом Гаусса,LU decomposition via Gaussian elimination,false,28
30,Компактная схема метода Гаусса и её модификации,"Gaussian elimination, compact scheme for tridiagonal matrices and its modifications",false,28
31,Компактная схема метода Гаусса для плотной матрицы,Compact scheme for Gaussian elimination: Dense matrix,false,30
